name,slug,rarity,path,hp,atk,def,effect_description
Patience Is All You Need,patience-is-all-you-need,5,Nihility,1058,582,463,"Increases DMG dealt by the wearer by 24 /28/32/36/40 % . After every attack launched by wearer, their SPD increases by 4.8 /5.6/6.4/7.2/8 % , stacking up to 3 times. If the wearer hits an enemy target that is not afflicted by Erode, there is a 100% base chance to inflict Erode to the target. Enemies afflicted with Erode are also considered to be Shocked and will receive Lightning DoT at the start of each turn equal to 60 /70/80/90/100 % of the wearer's ATK, lasting for 1 turn(s)."
Perfect Timing,perfect-timing,4,Abundance,952,423,396,Increases the wearer's Effect RES by 16/20/24/28/32% and increases Outgoing Healing by an amount that is equal to 33/36/39/42/45% of Effect RES. Outgoing Healing can be increased this way by up to 15/18/21/24 /27 % .
Pioneering,pioneering,3,Preservation,952,264,264,"When the wearer Breaks an enemy's Weakness, the wearer restores HP by 12 /14/16/18/20 % of their Max HP."
Planetary Rendezvous,planetary-rendezvous,4,Harmony,1058,423,330,"Upon battle entry, if an ally deals the same DMG Type as the wearer, DMG dealt increases by 12 / 15 /18/21/ 24%."
Poised to Bloom,poised-to-bloom,4,Harmony,952,423,396,"Increases the wearer's ATK by 16/20/24/28/32% . Upon entering battle, if two or more characters follow the same Path, then these characters' CRIT DMG increases by 16/20/24/28/32% . Abilities of the same type cannot stack."
Post-Op Conversation,post-op-conversation,4,Abundance,1058,423,330,Increases Energy Regeneration Rate of its wearer by 8 /10/12/14/16 % and increases Outgoing Healing when they use their Ultimate by 12 /15/18/21/24 % .
Quid Pro Quo,quid-pro-quo,4,Abundance,952,423,396,"At the start of the wearer's turn, regenerates 8/10/12/14 /16 Energy for a randomly chosen ally (excluding the wearer) whose current Energy is lower than 50% ."
Race to the Horizon,race-to-the-horizon,4,Hunt,847,476,397,"Increases the wearer's ATK by 12/15/18/21/24% . After the wearer uses a Follow-Up ATK, increases their CRIT DMG by 3/3.5/4/4.5/5% for 2 turn(s). This effect can stack up to 10 times."
Reforged Remembrance,reforged-remembrance,5,Nihility,1058,582,463,"Increases wearer's Effect Hit Rate by 40/45/50/55/60% . When the wearer deals DMG to an enemy inflicted with Wind Shear, Burn, Shock, or Bleed, they will individually gain 1 stack of Prophet. This effect can stack up to 4 times. In a single battle, each type of DoT can only generate 1 stack of Prophet. Every stack of Prophet increases wearer's ATK by 5/6/7/8/9% and the DoT dealt will ignore 7.2/7.9/8.6/9.3/10% of the target's DEF."
Reforged in Hellfire,reforged-in-hellfire,5,Nihility,1376,423,463,"Increases the wearer's Max HP by 30/38/45/53/60% . At the start of the wearer's turn, regenerates a fixed amount of 20 Energy. This effect can trigger 1 time each wave. After the wearer uses Skill to attack, inflicts the target with the ""Purgatory"" state, lasting for 2 turn(s). While in the ""Purgatory"" state, the target receives 30/38/45/53/60% increased CRIT DMG and 30/38/45/53/60% additionally increased CRIT DMG from the wearer."
Reminiscence,reminiscence,3,Remembrance,635,423,265,"When memosprite's turn starts, the wearer and the memosprite each gain 1 stack of ""Commemoration."" Each stack increases DMG dealt by 8/9/10/11/12% , stacking up to 4 time(s). ""Commemoration"" is removed from the wearer and the memosprite when the memosprite disappears."
Resolution Shines As Pearls of Sweat,resolution-shines-as-pearls-of-sweat,4,Nihility,952,476,330,"When the wearer hits an enemy and if the hit enemy is not already Ensnared, then there is a 60 /70/80/90/100 % base chance to Ensnare the hit enemy. Ensnared enemies' DEF decreases by 12 /13/14/15/16 % for 1 turn(s)."
Return to Darkness,return-to-darkness,4,Hunt,846,529,330,"Increases the wearer's CRIT Rate by 12/15/18/21/24% . After a CRIT Hit, there is a 16 /20/24/28/32 % fixed chance to dispel 1 buff on the target enemy. This effect can only trigger once per attack."
Rise and Sing,rise-and-sing,5,Remembrance,1164,582,397,"Increases the wearer's Max HP by 30/38/45/53/60% . After the wearer uses their Ultimate, recovers 1 Skill Point for allies. When entering combat, advances the wearer's action by 30/33/35/38/40% and grants the wearer ""New Melody"" for 2 turn(s). While the wearer has ""New Melody,"" all allies' SPD increases by 20/25/30/35/40% ."
River Flows in Spring,river-flows-in-spring,4,Hunt,846,476,396,"After entering battle, increases the wearer's SPD by 8 /9/10/11/12 % and DMG by 12 /15/18/21/24 % . When the wearer takes DMG, this effect will disappear. This effect will resume after the end of the wearer's next turn."
Sagacity,sagacity,3,Erudition,740,370,264,"When the wearer uses their Ultimate, increases ATK by 24 /30/36/42/48 % for 2 turn(s)."
Sailing Towards A Second Life,sailing-towards-a-second-life,5,Hunt,1058,582,463,"Increases the wearer's Break Effect by 60/70/80/90/100% . The Break DMG dealt by the wearer ignores 20/23/26/29/32% of the target's DEF. When the wearer's Break Effect in battle is at 150% or greater, increases their SPD by 12/14/16/18/20% ."
Scent Alone Stays True,scent-alone-stays-true,5,Abundance,1058,529,529,"Increases the wearer's Break Effect by 60/70/80/90/100% . After the wearer uses Ultimate to attack enemy targets, inflicts the targets with the ""Woefree"" state, lasting for 2 turn(s). While in ""Woefree,"" enemy targets take 10/12/14/16/18% increased DMG. The effect of increasing DMG taken is additionally boosted by 8/10/12/14/16% if the wearer's current Break Effect is 150% or higher."
See You at the End,see-you-at-the-end,4,Hunt,953,529,397,Increases the wearer's CRIT DMG by 24/28/32/36/40% . The Skill DMG and Follow-up ATK DMG dealt by the wearer increase by 24/28/32/36/40% .
Shadowburn,shadowburn,3,Remembrance,847,318,265,"When the wearer summons memosprite for the first time in battle, recovers 1 Skill Point(s) and regenerates 12/14/16/18/20 Energy for this unit."
Shadowed By Night,shadowed-by-night,4,Hunt,846,476,396,"Increases the wearer's Break Effect by 28/35/42/49/56% . When entering battle or after dealing Break DMG, increases SPD by 8/9/10/11/12% , lasting for 2 turn(s). This effect can only trigger once per turn."
Shared Feeling,shared-feeling,4,Abundance,952,423,396,"Increases the wearer's Outgoing Healing by 10/12.5/15/17.5/20% . When using Skill, regenerates 2/2/3/3/4 Energy for all allies."
Shattered Home,shattered-home,3,Destruction,846,370,198,Deals 20 /25/30/35/40 % increased DMG to any enemies whose HP is above 50% .
She Already Shut Her Eyes,she-already-shut-her-eyes,5,Preservation,1270,423,529,"Increases the wearer's Max HP by 24/28/32/36/40% and Energy Regeneration Rate by 12/14/16/18/20% . When the wearer's HP is decreased, increases the DMG of all allies by 9/10.5/12/13.5/15% for 2 turns. At the beginning of each wave, restores HP equal to 80/85/90/95/100% of HP already lost by the character themselves for team."
Sleep Like the Dead,sleep-like-the-dead,5,Hunt,1058,582,463,"Increases the wearer's CRIT DMG by 30 /35/40/45/50 % . When the wearer's Basic ATK or Skill does not result in a CRIT Hit, increases their CRIT Rate by 36 /42/48/54/60 % for 1 turn(s). This effect can only trigger once every 3 turn(s)."
Sneering,sneering,3,Elation,741,370,265,"When Aha Instant is activated, the wearer's Elation increases by 16/20/24/28/32% , lasting until Aha Instant ends."
Solitary Healing,solitary-healing,5,Nihility,1058,529,396,"Increases the wearer's Break Effect by 20/25/30/35/40% . When the wearer unleashes their Ultimate, increases DoT dealt by the wearer by 24/30/36/42/48% for 2 turn(s). Defeating the target suffering from the wearer's DoT allows the wearer to regenerate 4/4.5/5/5.5/6 Energy."
Something Irreplaceable,something-irreplaceable,5,Destruction,1164,582,396,"Increases the wearer's ATK by 24 /28/32/36/40 % . When the wearer defeats an enemy or is hit, immediately restores HP equal to 8 /9/10/11/12 % of the wearer's ATK. At the same time, the wearer's DMG is increased by 24 /28/32/36/40 % until the end of their next turn. This effect cannot stack and can only trigger 1 time per turn."
Subscribe for More!,subscribe-for-more,4,Hunt,952,476,330,Increases the DMG of the wearer's Basic ATK and Skill by 24 /30/36/42/48 % . This effect increases by an extra 24 /30/36/42/48 % when the wearer's current Energy reaches its max level.
Summer Rides the Surf,summer-rides-the-surf,5,Elation,0,0,0,Coming Soon!
"Sweat Now, Cry Less",sweat-now-cry-less,4,Remembrance,1058,529,198,"Increases the wearer's CRIT Rate by 12/14/16/18/20% . When the wearer's memosprite is on the field, increases the wearer and their memosprite's DMG dealt by 24/27/30/33/36% ."
Swordplay,swordplay,4,Hunt,952,476,330,"For each time the wearer hits the same target, DMG dealt increases by 8/10/12/14/16% , stacking up to 5 time(s). This effect will be dispelled when the wearer changes targets."
Texture of Memories,texture-of-memories,5,Preservation,1058,423,529,"Increases the wearer's Effect RES by 8/10/12/14/16% . If the wearer is attacked and has no Shield, they gain a Shield equal to 16/20/24 /28/32 % of their Max HP for 2 turn(s). This effect can only be triggered once every 3 turn(s). If the wearer has a Shield when attacked, the DMG they receive decreases by 12 /15/18/21/24 % ."
The Birth of the Self,the-birth-of-the-self,4,Erudition,952,476,330,"Increases DMG dealt by the wearer's follow-up attacks by 24/30/36/42/48% . If the current HP of the target enemy is below 50% of their Max HP, increases DMG dealt by follow-up attacks by an extra 24/30/36/42/48% ."
The Day The Cosmos Fell,the-day-the-cosmos-fell,4,Erudition,953,476,331,"Increases the wearer's ATK by 16/18/20/22/24% . When the wearer uses an attack and affects no fewer than 2 attacked enemies with a corresponding Weakness, the wearer's CRIT DMG increases by 20/25/30/35/40% for 2 turn(s)."
The Finale of a Lie,the-finale-of-a-lie,5,Hunt,846,635,529,"Increases the wearer's CRIT Rate by 18/21/24/27/30% . At the start of battle or for every 4 instance(s) of Follow-Up ATK the wearer uses, the wearer gains ""Umbra Devourer,"" lasting for 3 turn(s). While the wearer holds ""Umbra Devourer,"" increases ATK by 40/50/60/70/80% and increases the DMG taken by all enemies by 20/22/25/27/30% . Effects of the same type cannot stack."
The Flower Remembers,the-flower-remembers,4,Remembrance,1058,529,331,Increases the wearer's CRIT DMG by 24/28/32/36/40% . The CRIT DMG dealt by the wearer's memosprite increases by 24/28/32/36/40% .
The Forever Victual,the-forever-victual,4,Harmony,953,476,331,"Increases the wearer's ATK by 16/20/24/28/32% . After the wearer uses Skill, increases ATK by 8/10/12/14/16% , stacking up to 3 times."
The Great Cosmic Enterprise,the-great-cosmic-enterprise,4,Erudition,953,476,331,"Increases the wearer's ATK by 8/10/12/14/16% . For every different Weakness Type an enemy target has, increases the DMG dealt by the wearer by 4/5/6/7/8% , up to a max of 7 Weakness Types."
The Hell Where Ideals Burn,the-hell-where-ideals-burn,5,Hunt,953,582,529,"Increases the wearer's CRIT Rate by 16/20/24/28/32% . When entering battle and if the allies' Skill Points max limit is 6 or higher, increases the wearer's ATK by 40/50/60/70/80% . After the wearer uses a Skill, increases their ATK by 10/12/15/17/20% , stacking up to 4 time(s)."
The Moles Welcome You,the-moles-welcome-you,4,Destruction,1058,476,264,"When the wearer uses Basic ATK, Skill, or Ultimate to attack enemies, the wearer gains one stack of Mischievous. Each stack increases the wearer's ATK by 12/15/18/21/24% ."
The Seriousness of Breakfast,the-seriousness-of-breakfast,4,Erudition,846,476,396,"Increases the wearer's DMG by 12/15/18/21/24% . For every defeated enemy, the wearer's ATK increases by 4/5/6/7/8% , stacking up to 3 time(s)."
The Story's Next Page,the-story-s-next-page,4,Remembrance,1058,370,397,"Increases the wearer's Max HP by 16/20/24/28/32% . After the wearer's memosprite attacks, the Outgoing Healing of the wearer and their memosprite increases by 12/15/18/21/24% , lasting for 1 turn(s)."
The Unreachable Side,the-unreachable-side,5,Destruction,1270,582,330,"Increases the wearer's CRIT rate by 18/21 /24/27/ 30% and increases their Max HP by 18/21 /24/27/ 30% . When the wearer is attacked or consumes their own HP, their DMG increases by 24/28 /32/36/ 40% . This effect is removed after the wearer uses an attack."
This Is Me!,this-is-me,4,Preservation,846,370,529,Increases the wearer's DEF by 16 /20/24/28/32 % . Increases the DMG of the wearer when they use their Ultimate by 60 /75/90/105/120 % of the wearer's DEF. This effect only apply 1 time per enemy target.
"This Love, Forever",this-love-forever,5,Remembrance,1270,476,463,"Increases the wearer's SPD by 18/21/24/27/30% . When the wearer's memosprite uses a Memosprite Skill on an ally, gains ""Blank,"" which increases DMG taken by all enemies by 10/12/14/16/18% . When the wearer's memosprite uses a Memosprite Skill on an enemy, gains ""Verse,"" which increases CRIT DMG of all allies by 16/19/22/25/28% . When the wearer's memosprite has both ""Blank"" and ""Verse,"" increases the effects of ""Blank"" and ""Verse"" by 60/65/70/75/80% ."
Those Many Springs,those-many-springs,5,Nihility,952,582,529,"Increases the wearer's Effect Hit Rate by 60/70/80/90/100% . After the wearer uses Basic ATK, Skill, or Ultimate to attack an enemy target, there is a 60% base chance to inflict ""Unarmored"" on the target. While in the Unarmored state, the enemy target receives 10/12/14/16/18% increased DMG, lasting for 2 turn(s). If the target is under a DoT state inflicted by the wearer, there is a 60% base chance to upgrade the ""Unarmored"" state inflicted by the wearer to the ""Cornered"" state, which additionally increases the DMG the target enemy receives by 14/16/18/20/22% , lasting for 2 turn(s). During this period, the wearer cannot inflict ""Unarmored"" on the target."
Though Worlds Apart,though-worlds-apart,5,Preservation,1058,582,463,"Increases the wearer's ATK by 64/80/96/112/128% . When the wearer uses Ultimate, restores HP equal to 10/13/15/18/20% of the wearer's ATK for all allies, and additionally restores HP equal to 10/13/15/18/20% of the wearer's ATK for the character with the lowest current HP, and grants ""Redoubt"" to all allies for 3 turn(s). Targets with ""Redoubt"" deal 24/30/36/42/48% increased DMG, which further increases by 12/15/18/21/24% if the targets have summons."
Thus Burns the Dawn,thus-burns-the-dawn,5,Destruction,953,687,397,"The wearer's base SPD increases by 12/14/16/18/20 . When the wearer deals DMG, ignores 18/22/27/31/36% of the target's DEF. After the wearer uses Ultimate, obtains ""Blazing Sun,"" which is removed at the start of their turn. While ""Blazing Sun"" is in possession, increases the wearer's DMG dealt by 60/78/96/114/132% ."
Time Waits for No One,time-waits-for-no-one,5,Abundance,1270,476,463,"Increases the wearer's Max HP by 18 /21/24/27/30 % and Outgoing Healing by 12 /14/16/18/20 % . When the wearer heals allies, record the amount of Outgoing Healing. When any ally launches an attack, a random attacked enemy takes Additional DMG equal to 36 /42/48/54/60 % of the recorded Outgoing Healing value. This Additional DMG is of the same Type as the wearer's, is not affected by other buffs, and can only occur 1 time per turn"
Time Woven Into Gold,time-woven-into-gold,5,Remembrance,1058,635,397,"Increases the wearer's base SPD by 12/14/16/18/20 . After the wearer and the wearer's memosprite attacks, the wearer gains 1 stack of ""Brocade."" Each stack of ""Brocade"" increases the wearer's and their memosprite's CRIT DMG by 9/10.5/12/13.5/15% , stacking up to 6 time(s). When reaching maximum stacks, each ""Brocade"" stack additionally increases Basic ATK DMG dealt by 9/10.5/12/13.5/15% ."
To Evernight's Stars,to-evernight-s-stars,5,Remembrance,1164,529,463,"Increases the wearer's Max HP by 30/38/45/53/60% . When the wearer's memosprite uses an ability, the wearer gains ""Noctis."" While the wearer has ""Noctis,"" all allies' memosprites ignore 20/22/25/27/30% of the target's DEF when dealing DMG. Increases the DMG dealt by the wearer and their memosprite by 30/38/45/53/60% . When the wearer's memosprite disappears, the wearer recovers 8/10/12/14/16 Energy. Similar effects cannot stack."
Today Is Another Peaceful Day,today-is-another-peaceful-day,4,Erudition,846,529,330,"After entering battle, increases the wearer's DMG based on their Max Energy. DMG increases by 0.2 /0.25/0.3/0.35/0.4 % per point of Energy, up to 160 Energy."
Today's Good Luck,today-s-good-luck,4,Elation,953,529,397,"Increases the wearer's CRIT Rate by 12/14/16/18/20% . When the wearer uses an Elation Skill, increases Elation by 12/14/16/18/20% , stacking up to 2 times."
"Tomorrow, Together",tomorrow-together,4,Elation,953,476,331,"Increases the wearer's CRIT DMG by 12/15/18/21/24% . After the wearer uses their Ultimate, increases the Elation of all allies by 8/9/10/11/12% , lasting for 1 turn(s)."
Trend of the Universal Market,trend-of-the-universal-market,4,Preservation,1058,370,396,"Increases the wearer's DEF by 16 /20/24/28/32 % . When the wearer is attacked, there is a 100 /105/110/115/120 % base chance to Burn the enemy. For each turn, the wearer deals DoT that is equal to 40 /50/60/70/80 % of the wearer's DEF for 2 turn(s)."
Under the Blue Sky,under-the-blue-sky,4,Destruction,952,476,330,"Increases the wearer's ATK by 16 /20/24/28/32 % . When the wearer defeats an enemy, the wearer's CRIT Rate increases by 12 /15/18/21/24 % for 3 turn(s)."
Until the Flowers Bloom Again,until-the-flowers-bloom-again,5,Elation,953,635,463,"Increases the wearer's CRIT DMG by 60/75/90/105/120% and Energy Regeneration Rate by 10/11.5/13/14.5/16% . When the wearer's Max Energy is greater than 120 , for every 10 points of Max Energy that exceeds this amount, further increases Energy Regeneration Rate by 0.3% . Up to a maximum of 360 points of excess Max Energy can be taken into account. When the wearer uses Elation Skill, increases the DMG received by all enemies by 15/18.8/22.5/26.3/30% for 2 turn(s). Effects of the same type cannot stack."
Unto Tomorrow's Morrow,unto-tomorrow-s-morrow,4,Abundance,1058,476,397,"Increases the wearer's Outgoing Healing by 12/15/18/21/24% . When an ally target's current HP percentage is greater than or equal to 50% , increases the DMG dealt by 12/14/16/18/20% ."
Victory In a Blink,victory-in-a-blink,4,Remembrance,847,476,397,"Increases the wearer's CRIT DMG by 12/15/18/21/24% . When the wearer's memosprite uses an ability on any ally target, increases all ally targets' DMG dealt by 8/10/12/14/16% , lasting for 3 turn(s)."
Void,void,3,Nihility,846,317,264,"At the start of battle, increases the wearer's Effect Hit Rate by 20/25/30/35/40% for 3 turn(s)."
Warmth Shortens Cold Nights,warmth-shortens-cold-nights,4,Abundance,1058,370,396,"Increases the wearer's Max HP by 16 /20/24/28/32 % . When using Basic ATK or Skill, restores all allies' HP by an amount equal to 2 /2.5/3/3.5/4 % of their respective Max HP."
We Are Wildfire,we-are-wildfire,4,Preservation,740,476,463,"At the start of the battle, the DMG dealt to all allies decreases by 8 /10/12/14/16 % for 5 turn(s). At the same time, immediately restores HP to all allies equal to 30 /35/40/45/50 % of the respective HP difference between the characters' Max HP and current HP."
We Will Meet Again,we-will-meet-again,4,Nihility,846,529,330,"After the wearer uses Basic ATK or Skill, the wearer deals 48 /60/72/84/96 % of ATK as additional DMG to a random enemy that is attacked by abilities."
Welcome to the Cosmic City,welcome-to-the-cosmic-city,5,Elation,1164,476,529,"Increases the wearer's SPD by 18/21/24/27/30% , and the Elation DMG dealt ignores 20/24/2/32/36% of the target's DEF. When the wearer uses Ultimate on themselves, gains 20/25/30/35/40 ""Punchline."" This effect can be triggered up to 1 time, and will be reset after using Basic ATK 3 time(s)."
What Is Real?,what-is-real,4,Abundance,1058,423,331,Increases the wearer's Break Effect by 24/30/36/42/48% . Wearer's Basic ATKs restore an amount equal to 2/2.5/3/3.5/4% of Max HP plus 800 for themselves.
When She Decided to See,when-she-decided-to-see,5,Elation,1058,529,529,"Increases the wearer's SPD by 18/21/24/27/30% . When the wearer enters combat or uses Ultimate on an ally target, the wearer gains ""Great Fortune"" for 3 turn(s). While the wearer holds ""Great Fortune,"" all allies' CRIT Rate increases by 10/11/12/13/14% , CRIT DMG increases by 30/38/45/53/60% , and the wearer's Energy Regeneration Rate increases by 12/14/16/18/20% . At the start of each wave, the wearer regenerates a fixed amount of 15 Energy."
Whereabouts Should Dreams Rest,whereabouts-should-dreams-rest,5,Destruction,1164,476,529,"Increases the wearer's Break Effect by 60/70/80/90/100% . When the wearer deals Break DMG to an enemy target, inflicts Routed on the enemy, lasting for 2 turn(s). Targets afflicted with Routed receive 24/28/32/36/40% increased Break DMG from the wearer, and their SPD is lowered by 20% . Effects of the similar type cannot be stacked."
Why Does the Ocean Sing,why-does-the-ocean-sing,5,Nihility,953,635,463,"Increases the wearer's Effect Hit Rate by 40/45/50/55/60% . When an enemy target gets inflicted with a debuff by the wearer, there is a 80% base chance for them to enter ""Enthrallment,"" lasting for 3 turn(s). Effects of the same type cannot stack. While the target is in ""Enthrallment,"" for every 1 debuff applied by the wearer on the target, increases the target's received DoT by 5/6.3/7.5/8.7/10% , stacking up to 6 time(s). When the target gets attacked by an ally, increases the attacker's SPD by 10/12.5/15/17.5/20% for 3 turn(s). When the wearer gets knocked down, removes all ""Enthrallment."""
Woof! Walk Time!,woof-walk-time,4,Destruction,952,476,330,"Increases the wearer's ATK by 10/12.5/15/17.5/20% , and increases their DMG to enemies afflicted with Burn or Bleed by 16 /20/24/28/32 % . This also applies to DoT."
"Worrisome, Blissful",worrisome-blissful,5,Hunt,1058,582,463,"Increase the wearer's CRIT Rate by 18/21/24/27/30% and their follow-up attacks' DMG by 30/35/40/45/50% . After the wearer uses a follow-up attack, apply the Tame state to the target, stacking up to 2 stacks. When allies hit enemy targets under the Tame state, every Tame stack increases the CRIT DMG dealt by 12/14/16/18/20% ."
Yet Hope Is Priceless,yet-hope-is-priceless,5,Erudition,952,582,529,"Increases the wearer's CRIT Rate by 16/19/22/25/28% . While the wearer is in battle, for every 20% CRIT DMG that exceeds 120%, the DMG dealt by follow-up attack increases by 12/14/16/18/20% . This effect can stack up to 4 time(s). When the battle starts or after the wearer uses their Basic ATK, enables Ultimate or the DMG dealt by follow-up attack to ignore 20/24/28/32/36% of the target's DEF, lasting for 2 turn(s)."
