character,slug,eidolon,eidolon_number,name,description
Cyrene,cyrene,E7,7,"When Cyrene uses her Ultimate for the first time, all allies' actions advance by","When Cyrene uses her Ultimate for the first time, all allies' actions advance by 100% . Each time when ███ triggers the Memosprite Skill ""Ode to ██"" and uses ""Minuet of Blooms and Plumes,"" based on the number of times it has been triggered, gains the following effects: 100% . Each time when ███ triggers the Memosprite Skill ""Ode to ██"" and uses ""Minuet of Blooms and Plumes,"" based on the number of times it has been triggered, gains the following effects: 1 time: When ███ is on the field, reduces all enemy targets' DEF by 20% . 2 times and more: Advances all allies' actions by 24% ."
Dan Heng,dan-heng,E1,1,E,"The Higher You Fly, the Harder You Fall 1 The Higher You Fly, the Harder You Fall Eidolon 1 When the target enemy's current HP percentage is greater than or equal to 50% , CRIT Rate increases by 12% . E 2 Quell the Venom Octet, Quench the Vice O'Flame Eidolon 2 Reduces Talent cooldown by 1 turn. E 3 Seen and Unseen Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 . up to a maximum of Lv. 10 . E 4 Roaring Dragon and Soaring Sun Eidolon 4 When Dan Heng uses his Ultimate to defeat an enemy, his next action is Advanced Forward by 100% . E 5 A Drop of Rain Feeds a Torrent Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 . E 6 The Troubled Soul Lies in Wait Eidolon 6 The Slow state triggered by Skill reduces the enemy's SPD by an extra 8% ."
Dan Heng,dan-heng,E2,2,When the target enemy's current HP percentage is greater than or equal to,"When the target enemy's current HP percentage is greater than or equal to 50% , CRIT Rate increases by 12% . 50% , CRIT Rate increases by 12% ."
Dan Heng,dan-heng,E3,3,Reduces Talent cooldown by,Reduces Talent cooldown by 1 turn. 1 turn.
Dan Heng,dan-heng,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 . up to a maximum of Lv. 10 . +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 . up to a maximum of Lv. 10 ."
Dan Heng,dan-heng,E5,5,"When Dan Heng uses his Ultimate to defeat an enemy, his next action is Advanced Forward by","When Dan Heng uses his Ultimate to defeat an enemy, his next action is Advanced Forward by 100% . 100% ."
Dan Heng,dan-heng,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 . +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 ."
Dan Heng,dan-heng,E7,7,The Slow state triggered by Skill reduces the enemy's SPD by an extra,The Slow state triggered by Skill reduces the enemy's SPD by an extra 8% . 8% .
Dan Heng • Imbibitor Lunae,imbibitor-lunae,E1,1,E,"Tethered to Sky 1 Tethered to Sky Eidolon 1 Increases the stackable Righteous Heart count by 4 , and gains 1 extra stack of Righteous Heart for each hit during an attack. E 2 Imperium On Cloud Nine Eidolon 2 After using his Ultimate, Dan Heng • Imbibitor Lunae's action is Advanced Forward by 100% and gains 1 extra Squama Sacrosancta. E 3 Clothed in Clouds Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Zephyr's Bliss Eidolon 4 The buff effect granted by Outroar lasts until the end of this character's next turn. E 5 Fall is the Pride Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 Reign, Returned Eidolon 6 After any other ally uses their Ultimate, the Imaginary RES PEN of Dan Heng • Imbibitor Lunae's next Fulgurant Leap attack increases by 20% , up to 3 stacks."
Dan Heng • Imbibitor Lunae,imbibitor-lunae,E2,2,Increases the stackable Righteous Heart count by,"Increases the stackable Righteous Heart count by 4 , and gains 1 extra stack of Righteous Heart for each hit during an attack. 4 , and gains 1 extra stack of Righteous Heart for each hit during an attack."
Dan Heng • Imbibitor Lunae,imbibitor-lunae,E3,3,"After using his Ultimate, Dan Heng • Imbibitor Lunae's action is Advanced Forward by","After using his Ultimate, Dan Heng • Imbibitor Lunae's action is Advanced Forward by 100% and gains 1 extra Squama Sacrosancta. 100% and gains 1 extra Squama Sacrosancta."
Dan Heng • Imbibitor Lunae,imbibitor-lunae,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Dan Heng • Imbibitor Lunae,imbibitor-lunae,E5,5,,The buff effect granted by Outroar lasts until the end of this character's next turn.
Dan Heng • Imbibitor Lunae,imbibitor-lunae,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Dan Heng • Imbibitor Lunae,imbibitor-lunae,E7,7,"After any other ally uses their Ultimate, the","After any other ally uses their Ultimate, the Imaginary RES PEN of Dan Heng • Imbibitor Lunae's next Fulgurant Leap attack increases by 20% , up to 3 stacks. Imaginary RES PEN of Dan Heng • Imbibitor Lunae's next Fulgurant Leap attack increases by 20% , up to 3 stacks."
Dan Heng • Permansor Terrae,dan-heng-permansor-terrae,E1,1,E,"Shed Scales of Old 1 Shed Scales of Old Eidolon 1 When Dan Heng • Permansor Terrae uses Ultimate, recovers 1 Skill Point(s) and increases the ""Bondmate's"" All-Type RES PEN by 18% , lasting for 3 turn(s). E 2 Watch Trails to Blaze Eidolon 2 Additionally increases the number of actions for the enhanced Souldragon from Ultimate by 2 . After Dan Heng • Permansor Terrae uses Ultimate, Souldragon advances action by 100% . When the enhanced ""Souldragon"" takes action, the Additional DMG dealt by the ""Bondmate"" becomes 200% of its original DMG, and the Shield Effect provided in this instance becomes 200% of its original Shield Effect. E 3 Bear Weight of Worlds Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 By Oath, This Vessel Is I Eidolon 4 Reduces the DMG taken by the ""Bondmate"" by 20% . E 5 The Path of Permanence Sweeps Far Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 One Dream to Enfold All Wilds Eidolon 6 When the ""Bondmate"" is on the field, increases the DMG taken by all enemies by 20% . When the ""Bondmate"" deals DMG, ignores 12% of the enemy targets' DEF. When Dan Heng • Permansor Terrae uses Ultimate, the ""Bondmate"" will deal Additional DMG of the Bondmate's Type to all enemies, equal to 330% of the Bondmate's ATK."
Dan Heng • Permansor Terrae,dan-heng-permansor-terrae,E2,2,"When Dan Heng • Permansor Terrae uses Ultimate, recovers","When Dan Heng • Permansor Terrae uses Ultimate, recovers 1 Skill Point(s) and increases the ""Bondmate's"" All-Type RES PEN by 18% , lasting for 3 turn(s). 1 Skill Point(s) and increases the ""Bondmate's"" All-Type RES PEN by 18% , lasting for 3 turn(s)."
Dan Heng • Permansor Terrae,dan-heng-permansor-terrae,E3,3,Additionally increases the number of actions for the enhanced Souldragon from Ultimate by,"Additionally increases the number of actions for the enhanced Souldragon from Ultimate by 2 . After Dan Heng • Permansor Terrae uses Ultimate, Souldragon advances action by 100% . When the enhanced ""Souldragon"" takes action, the Additional DMG dealt by the ""Bondmate"" becomes 200% of its original DMG, and the Shield Effect provided in this instance becomes 200% of its original Shield Effect. 2 . After Dan Heng • Permansor Terrae uses Ultimate, Souldragon advances action by 100% . When the enhanced ""Souldragon"" takes action, the Additional DMG dealt by the ""Bondmate"" becomes 200% of its original DMG, and the Shield Effect provided in this instance becomes 200% of its original Shield Effect."
Dan Heng • Permansor Terrae,dan-heng-permansor-terrae,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Dan Heng • Permansor Terrae,dan-heng-permansor-terrae,E5,5,"Reduces the DMG taken by the ""Bondmate"" by","Reduces the DMG taken by the ""Bondmate"" by 20% . 20% ."
Dan Heng • Permansor Terrae,dan-heng-permansor-terrae,E6,6,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Dan Heng • Permansor Terrae,dan-heng-permansor-terrae,E7,7,"When the ""Bondmate"" is on the field, increases the DMG taken by all enemies by","When the ""Bondmate"" is on the field, increases the DMG taken by all enemies by 20% . When the ""Bondmate"" deals DMG, ignores 12% of the enemy targets' DEF. When Dan Heng • Permansor Terrae uses Ultimate, the ""Bondmate"" will deal Additional DMG of the Bondmate's Type to all enemies, equal to 330% of the Bondmate's ATK. 20% . When the ""Bondmate"" deals DMG, ignores 12% of the enemy targets' DEF. When Dan Heng • Permansor Terrae uses Ultimate, the ""Bondmate"" will deal Additional DMG of the Bondmate's Type to all enemies, equal to 330% of the Bondmate's ATK."
Dr. Ratio,dr-ratio,E1,1,E,"Pride Comes Before a Fall 1 Pride Comes Before a Fall Eidolon 1 The maximum stackable count for the Trace ""Summation"" increases by 4 . When a battle begins, immediately obtains 4 stacks of Summation. Needs to unlock Summation first. E 2 The Divine Is in the Details Eidolon 2 When his Talent's follow-up attack hits a target, for every debuff the target has, additionally deals Imaginary Additional DMG equal to 20% of Dr. Ratio's ATK. This effect can be triggered for a maximum of 4 time(s) during each follow-up attack. E 3 Know Thyself Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Ignorance Is Blight Eidolon 4 When triggering the Talent, additionally regenerates 15 Energy for Dr. Ratio. E 5 Sic Itur Ad Astra Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 Vincit Omnia Veritas Eidolon 6 Increases the trigger count for Wiseman's Folly by 1 . The DMG dealt by the Talent's follow-up attack increases by 50% ."
Dr. Ratio,dr-ratio,E2,2,"The maximum stackable count for the Trace ""Summation"" increases by","The maximum stackable count for the Trace ""Summation"" increases by 4 . When a battle begins, immediately obtains 4 stacks of Summation. Needs to unlock Summation first. 4 . When a battle begins, immediately obtains 4 stacks of Summation. Needs to unlock Summation first."
Dr. Ratio,dr-ratio,E3,3,"When his Talent's follow-up attack hits a target, for every debuff the target has, additionally deals","When his Talent's follow-up attack hits a target, for every debuff the target has, additionally deals Imaginary Additional DMG equal to 20% of Dr. Ratio's ATK. This effect can be triggered for a maximum of 4 time(s) during each follow-up attack. Imaginary Additional DMG equal to 20% of Dr. Ratio's ATK. This effect can be triggered for a maximum of 4 time(s) during each follow-up attack."
Dr. Ratio,dr-ratio,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Dr. Ratio,dr-ratio,E5,5,"When triggering the Talent, additionally regenerates","When triggering the Talent, additionally regenerates 15 Energy for Dr. Ratio. 15 Energy for Dr. Ratio."
Dr. Ratio,dr-ratio,E6,6,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Dr. Ratio,dr-ratio,E7,7,Increases the trigger count for Wiseman's Folly by,Increases the trigger count for Wiseman's Folly by 1 . The DMG dealt by the Talent's follow-up attack increases by 50% . 1 . The DMG dealt by the Talent's follow-up attack increases by 50% .
Evanescia,evanescia,E1,1,E,"Home: A Prayer in Dance 1 Home: A Prayer in Dance Eidolon 1 Increases All-Type RES PEN by 20% . After ""Master Fox"" uses an attack, additionally triggers 1 instance of Elation Skill. Elation Skill additionally grants this unit 10 ""Certified Banger"" point(s). E 2 Voyage: A Wish for Everbloom Eidolon 2 CRIT DMG increases by 36% . When triggering the Certified Banger gain effect from the Trace ""Watch All Revels""/""Best All Blooms"", additionally gains ""Certified Banger"" equal to 50%/100% of the ""Certified Banger"" gained this time. E 3 Blade: A Feast on Evils Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. Elation Skill Lv. +1 , up to a maximum of Lv. 15. E 4 Meadow: A Ruin by Vice Eidolon 4 Evanescia's DMG dealt ignores 15% of the enemy targets' DEF. E 5 Arcadia: A Glimpse of Fates Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. Elation Skill Lv. +1 , up to a maximum of Lv. 15. E 6 Maiden: A Step into Dreams Eidolon 6 The duration of Evanescia's ""Certified Banger"" increases by 1 turn(s). The Elation DMG dealt by Evanescia merrymakes by 15% . For every 100 points of ""Certified Banger"" held, it additionally merrymakes by 2% . Up to 1000 points of ""Certified Banger"" can be taken into account. After using Ultimate for the first time upon entering combat, regenerates a fixed amount of 120 Energy for Evanescia. This effect can trigger 1 time for every 4 more instances of Ultimate used."
Evanescia,evanescia,E2,2,Increases All-Type RES PEN by,"Increases All-Type RES PEN by 20% . After ""Master Fox"" uses an attack, additionally triggers 1 instance of Elation Skill. Elation Skill additionally grants this unit 10 ""Certified Banger"" point(s). 20% . After ""Master Fox"" uses an attack, additionally triggers 1 instance of Elation Skill. Elation Skill additionally grants this unit 10 ""Certified Banger"" point(s)."
Evanescia,evanescia,E3,3,CRIT DMG increases by,"CRIT DMG increases by 36% . When triggering the Certified Banger gain effect from the Trace ""Watch All Revels""/""Best All Blooms"", additionally gains ""Certified Banger"" equal to 50%/100% of the ""Certified Banger"" gained this time. 36% . When triggering the Certified Banger gain effect from the Trace ""Watch All Revels""/""Best All Blooms"", additionally gains ""Certified Banger"" equal to 50%/100% of the ""Certified Banger"" gained this time."
Evanescia,evanescia,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. Elation Skill Lv. +1 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. Elation Skill Lv. +1 , up to a maximum of Lv. 15."
Evanescia,evanescia,E5,5,Evanescia's DMG dealt ignores,Evanescia's DMG dealt ignores 15% of the enemy targets' DEF. 15% of the enemy targets' DEF.
Evanescia,evanescia,E6,6,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. Elation Skill Lv. +1 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. Elation Skill Lv. +1 , up to a maximum of Lv. 15."
Evanescia,evanescia,E7,7,"The duration of Evanescia's ""Certified Banger"" increases by","The duration of Evanescia's ""Certified Banger"" increases by 1 turn(s). The Elation DMG dealt by Evanescia merrymakes by 15% . For every 100 points of ""Certified Banger"" held, it additionally merrymakes by 2% . Up to 1000 points of ""Certified Banger"" can be taken into account. After using Ultimate for the first time upon entering combat, regenerates a fixed amount of 120 Energy for Evanescia. This effect can trigger 1 time for every 4 more instances of Ultimate used. 1 turn(s). The Elation DMG dealt by Evanescia merrymakes by 15% . For every 100 points of ""Certified Banger"" held, it additionally merrymakes by 2% . Up to 1000 points of ""Certified Banger"" can be taken into account. After using Ultimate for the first time upon entering combat, regenerates a fixed amount of 120 Energy for Evanescia. This effect can trigger 1 time for every 4 more instances of Ultimate used."
Feixiao,feixiao,E1,1,E,"Skyward I Quell 1 Skyward I Quell Eidolon 1 After launching ""Boltsunder Blitz"" or ""Waraxe Skyward,"" additionally increases the Ultimate DMG dealt by Feixiao by an amount equal to 10% of the original DMG, stacking up to 5 time(s) and lasting until the end of the Ultimate action. E 2 Moonward I Wish Eidolon 2 In the Talent's effect, for every 1 instance of follow-up attack launched by ally targets, Feixiao gains 1 point of ""Flying Aureus."" This effect can trigger up to 6 time(s) per turn. E 3 Starward I Bode Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Stormward I Hear Eidolon 4 The follow-up attack from Talent has its Toughness Reduction increased by 100% , and when it launches, increases this unit's SPD by 8% , lasting for 2 turn(s). E 5 Heavenward I Leap Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 Homeward I Near Eidolon 6 Increases the All-Type RES PEN of Ultimate DMG dealt by Feixiao by 20% . Talent's follow-up attack DMG is considered as Ultimate DMG at the same time, and its DMG multiplier increases by 140% ."
Feixiao,feixiao,E2,2,"After launching ""Boltsunder Blitz"" or ""Waraxe Skyward,"" additionally increases the Ultimate DMG dealt by Feixiao by an amount equal to","After launching ""Boltsunder Blitz"" or ""Waraxe Skyward,"" additionally increases the Ultimate DMG dealt by Feixiao by an amount equal to 10% of the original DMG, stacking up to 5 time(s) and lasting until the end of the Ultimate action. 10% of the original DMG, stacking up to 5 time(s) and lasting until the end of the Ultimate action."
Feixiao,feixiao,E3,3,"In the Talent's effect, for every","In the Talent's effect, for every 1 instance of follow-up attack launched by ally targets, Feixiao gains 1 point of ""Flying Aureus."" This effect can trigger up to 6 time(s) per turn. 1 instance of follow-up attack launched by ally targets, Feixiao gains 1 point of ""Flying Aureus."" This effect can trigger up to 6 time(s) per turn."
Feixiao,feixiao,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Feixiao,feixiao,E5,5,The follow-up attack from Talent has its Toughness Reduction increased by,"The follow-up attack from Talent has its Toughness Reduction increased by 100% , and when it launches, increases this unit's SPD by 8% , lasting for 2 turn(s). 100% , and when it launches, increases this unit's SPD by 8% , lasting for 2 turn(s)."
Feixiao,feixiao,E6,6,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Feixiao,feixiao,E7,7,Increases the All-Type RES PEN of Ultimate DMG dealt by Feixiao by,"Increases the All-Type RES PEN of Ultimate DMG dealt by Feixiao by 20% . Talent's follow-up attack DMG is considered as Ultimate DMG at the same time, and its DMG multiplier increases by 140% . 20% . Talent's follow-up attack DMG is considered as Ultimate DMG at the same time, and its DMG multiplier increases by 140% ."
Firefly,firefly,E1,1,E,"In Reddened Chrysalis, I Once Rest 1 In Reddened Chrysalis, I Once Rest Eidolon 1 When using the Enhanced Skill, ignores 15% of the target's DEF. The Enhanced Skill does not consume Skill Points. E 2 From Shattered Sky, I Free Fall Eidolon 2 While in the Complete Combustion state, using the Enhanced Basic ATK or the Enhanced Skill to defeat an enemy target or to Break their Weakness allows SAM to immediately gain 1 extra turn. This effect can only trigger 1 time per turn, and the trigger count resets at the start of SAM's turn. E 3 Amidst Silenced Stars, I Deep Sleep Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Upon Lighted Fyrefly, I Soon Gaze Eidolon 4 While in Complete Combustion, increases SAM's Effect RES by 50% . E 5 From Undreamt Night, I Thence Shine Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 In Finalized Morrow, I Full Bloom Eidolon 6 While in Complete Combustion, increases SAM's Fire RES PEN by 20% . When using the Enhanced Basic ATK or Enhanced Skill, increases Weakness Break Efficiency by 50% ."
Firefly,firefly,E2,2,"When using the Enhanced Skill, ignores","When using the Enhanced Skill, ignores 15% of the target's DEF. The Enhanced Skill does not consume Skill Points. 15% of the target's DEF. The Enhanced Skill does not consume Skill Points."
Firefly,firefly,E3,3,"While in the Complete Combustion state, using the Enhanced Basic ATK or the Enhanced Skill to defeat an enemy target or to Break their Weakness allows SAM to immediately gain","While in the Complete Combustion state, using the Enhanced Basic ATK or the Enhanced Skill to defeat an enemy target or to Break their Weakness allows SAM to immediately gain 1 extra turn. 1 extra turn. This effect can only trigger 1 time per turn, and the trigger count resets at the start of SAM's turn."
Firefly,firefly,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Firefly,firefly,E5,5,"While in Complete Combustion, increases SAM's Effect RES by","While in Complete Combustion, increases SAM's Effect RES by 50% . 50% ."
Firefly,firefly,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Firefly,firefly,E7,7,"While in Complete Combustion, increases SAM's Fire RES PEN by","While in Complete Combustion, increases SAM's Fire RES PEN by 20% . When using the Enhanced Basic ATK or Enhanced Skill, increases Weakness Break Efficiency by 50% . 20% . When using the Enhanced Basic ATK or Enhanced Skill, increases Weakness Break Efficiency by 50% ."
Fu Xuan,fu-xuan,E1,1,E,"Dominus Pacis 1 Dominus Pacis Eidolon 1 The Knowledge effect increases CRIT DMG by 30% . E 2 Optimus Felix Eidolon 2 If any team member is struck by a killing blow while Matrix of Prescience is active, then all allies who were struck by a killing blow during this action will not be knocked down, and 70% of their Max HP is immediately restored. This effect can trigger 1 time per battle. E 3 Apex Nexus Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 4 Fortuna Stellaris Eidolon 4 When other allies under Matrix of Prescience are attacked, Fu Xuan regenerates 5 Energy. E 5 Arbiter Primus Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 6 Omnia Vita Eidolon 6 Once Matrix of Prescience is activated, it will keep a tally of the total HP lost by all team members in the current battle. Fu Xuan's Ultimate DMG will increase by 200% of this tally of HP loss. This tally is also capped at 120% of Fu Xuan's Max HP and the tally value will reset and re-accumulate after Fu Xuan's Ultimate is used."
Fu Xuan,fu-xuan,E2,2,The Knowledge effect increases CRIT DMG by,The Knowledge effect increases CRIT DMG by 30% . 30% .
Fu Xuan,fu-xuan,E3,3,"If any team member is struck by a killing blow while Matrix of Prescience is active, then all allies who were struck by a killing blow during this action will not be knocked down, and","If any team member is struck by a killing blow while Matrix of Prescience is active, then all allies who were struck by a killing blow during this action will not be knocked down, and 70% of their Max HP is immediately restored. This effect can trigger 1 time per battle. 70% of their Max HP is immediately restored. This effect can trigger 1 time per battle."
Fu Xuan,fu-xuan,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Fu Xuan,fu-xuan,E5,5,"When other allies under Matrix of Prescience are attacked, Fu Xuan regenerates","When other allies under Matrix of Prescience are attacked, Fu Xuan regenerates 5 Energy. 5 Energy."
Fu Xuan,fu-xuan,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Fu Xuan,fu-xuan,E7,7,"Once Matrix of Prescience is activated, it will keep a tally of the total HP lost by all team members in the current battle. Fu Xuan's Ultimate DMG will increase by","Once Matrix of Prescience is activated, it will keep a tally of the total HP lost by all team members in the current battle. Fu Xuan's Ultimate DMG will increase by 200% of this tally of HP loss. This tally is also capped at 120% of Fu Xuan's Max HP and the tally value will reset and re-accumulate after Fu Xuan's Ultimate is used. 200% of this tally of HP loss. This tally is also capped at 120% of Fu Xuan's Max HP and the tally value will reset and re-accumulate after Fu Xuan's Ultimate is used."
Gallagher,gallagher,E1,1,E,"Salty Dog 1 Salty Dog Eidolon 1 When Gallagher enters the battle, regenerates 20 Energy and increases Effect RES by 50% . E 2 Lion's Tail Eidolon 2 When using the Skill, removes 1 debuff(s) from a target ally. At the same time, increases their Effect RES by 30% , lasting for 2 turn(s). E 3 Corpse Reviver Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Last Word Eidolon 4 Extends the duration of the Besotted state inflicted by Gallagher's Ultimate by 1 turn(s). E 5 Death in the Afternoon Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 Blood and Sand Eidolon 6 Increases Gallagher's Break Effect by 20% and Weakness Break Efficiency by 20% ."
Gallagher,gallagher,E2,2,"When Gallagher enters the battle, regenerates","When Gallagher enters the battle, regenerates 20 Energy and increases Effect RES by 50% . 20 Energy and increases Effect RES by 50% ."
Gallagher,gallagher,E3,3,"When using the Skill, removes","When using the Skill, removes 1 debuff(s) from a target ally. At the same time, increases their Effect RES by 30% , lasting for 2 turn(s). 1 debuff(s) from a target ally. At the same time, increases their Effect RES by 30% , lasting for 2 turn(s)."
Gallagher,gallagher,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Gallagher,gallagher,E5,5,Extends the duration of the Besotted state inflicted by Gallagher's Ultimate by,Extends the duration of the Besotted state inflicted by Gallagher's Ultimate by 1 turn(s). 1 turn(s).
Gallagher,gallagher,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Gallagher,gallagher,E7,7,Increases Gallagher's Break Effect by,Increases Gallagher's Break Effect by 20% and Weakness Break Efficiency by 20% . 20% and Weakness Break Efficiency by 20% .
Gepard,gepard,E1,1,E,"Due Diligence 1 Due Diligence Eidolon 1 Base chance for Gepard's Skill to Freeze enemies increases by 35% . E 2 Lingering Cold Eidolon 2 After an enemy Frozen by Gepard's Skill is unfrozen, their SPD is reduced by 20% for 1 turn(s). E 3 Never Surrender Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 4 Faith Moves Mountains Eidolon 4 When Gepard is in battle, all allies' Effect RES increases by 20% . E 5 Cold Iron Fist Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 . up to a maximum of Lv. 10 . E 6 Unyielding Determination Eidolon 6 When his Talent is triggered, Gepard's action is Advanced Forward by 100% , and he restores extra HP equal to 50% of his Max HP."
Gepard,gepard,E2,2,Base chance for Gepard's Skill to Freeze enemies increases by,Base chance for Gepard's Skill to Freeze enemies increases by 35% . 35% .
Gepard,gepard,E3,3,"After an enemy Frozen by Gepard's Skill is unfrozen, their SPD is reduced by","After an enemy Frozen by Gepard's Skill is unfrozen, their SPD is reduced by 20% for 1 turn(s). 20% for 1 turn(s)."
Gepard,gepard,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Gepard,gepard,E5,5,"When Gepard is in battle, all allies' Effect RES increases by","When Gepard is in battle, all allies' Effect RES increases by 20% . 20% ."
